algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
3440185,474430,569621,225785,1000000,100000,33220,10000
2232280,306194,323703,138866,3375000,225000,58604,15000
9004234,537135,503725,170950,8000000,400000,86439,20000
822600,1136826,478558,191777,15625000,625000,116097,25000
1179166,1450134,573393,168234,27000000,900000,147207,30000
3276314,196539,792688,133898,42875000,1225000,179525,35000
3455693,239251,1376786,181454,64000000,1600000,212878,40000
4954727,299083,1481657,281837,91125000,2025000,247134,45000
5301893,400232,2078931,317329,125000000,2500000,282193,50000
7292779,481391,546993,155118,166375000,3025000,317975,55000
8226551,564063,603992,70216,216000000,3600000,354414,60000
12011800,658565,572676,72291,274625000,4225000,391454,65000
14921718,756736,434149,75842,343000000,4900000,429050,70000
14619771,988520,412140,76004,421875000,5625000,467162,75000
16632754,1024317,438930,79982,512000000,6400000,505755,80000
18414668,1367353,593627,78735,614125000,7225000,544799,85000
22486030,1459666,669305,84263,729000000,8100000,584267,90000
22898727,1431670,537369,90040,857375000,9025000,624137,95000
27166940,1648846,571245,93325,1000000000,10000000,664386,100000
